density,config,reshape_factor,pes,adaptive_rho,solve_index,solve_ms,status,mae,admm_iterations,pcg_iterations,r_prim,r_dual
low,1024x1024_reshape2_pes20,2,20,1,5,51.05501999992157,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape4_pes20,4,20,0,1,49.03639999997722,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape4_pes20,4,20,0,2,49.04333000013139,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape4_pes20,4,20,0,3,49.03437000007216,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape4_pes20,4,20,0,4,49.039470000025176,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape4_pes20,4,20,0,5,49.04979999992065,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape4_pes20,4,20,1,1,49.04312000007849,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape4_pes20,4,20,1,2,49.03838000018368,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape4_pes20,4,20,1,3,49.042530000178886,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape4_pes20,4,20,1,4,49.054930000011154,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape4_pes20,4,20,1,5,49.062069999990854,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape8_pes20,8,20,0,1,48.265429999901244,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape8_pes20,8,20,0,2,48.27058999990186,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape8_pes20,8,20,0,3,48.269710000113264,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape8_pes20,8,20,0,4,48.26118000005408,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape8_pes20,8,20,0,5,48.27283999998144,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape8_pes20,8,20,1,1,48.26258999992206,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape8_pes20,8,20,1,2,48.26318999994328,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape8_pes20,8,20,1,3,48.25991999996404,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape8_pes20,8,20,1,4,48.263740000038524,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape8_pes20,8,20,1,5,48.28235000013592,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
medium,1024x1024_reshape1_pes20,1,20,0,1,93.65907000005791,1,0.00013422579,245,265,0.009240325540304184,0.00182948203291744
medium,1024x1024_reshape1_pes20,1,20,0,2,93.65419000005204,1,0.00013422579,245,265,0.009240325540304184,0.00182948203291744
medium,1024x1024_reshape1_pes20,1,20,0,3,93.66424999984702,1,0.00013422579,245,265,0.009240325540304184,0.00182948203291744
medium,1024x1024_reshape1_pes20,1,20,0,4,93.65578999995705,1,0.00013422579,245,265,0.009240325540304184,0.00182948203291744
medium,1024x1024_reshape1_pes20,1,20,0,5,93.67974999986473,1,0.00013422579,245,265,0.009240325540304184,0.00182948203291744
medium,1024x1024_reshape1_pes20,1,20,1,1,154.7090300000491,1,0.00011382747,430,316,0.0047152042388916016,0.00030192796839401126
medium,1024x1024_reshape1_pes20,1,20,1,2,154.7166999998808,1,0.00011382747,430,316,0.0047152042388916016,0.00030192796839401126
medium,1024x1024_reshape1_pes20,1,20,1,3,154.7086800001125,1,0.00011382747,430,316,0.0047152042388916016,0.00030192796839401126
medium,1024x1024_reshape1_pes20,1,20,1,4,154.70406000008552,1,0.00011382747,430,316,0.0047152042388916016,0.00030192796839401126
medium,1024x1024_reshape1_pes20,1,20,1,5,154.68923000003088,1,0.00011382747,430,316,0.0047152042388916016,0.00030192796839401126
medium,1024x1024_reshape2_pes20,2,20,0,1,125.93291999996836,1,0.00013422579,245,265,0.009240325540304184,0.00182948203291744
medium,1024x1024_reshape2_pes20,2,20,0,2,125.94916000011835,1,0.00013422579,245,265,0.009240325540304184,0.00182948203291744
