density,config,tile_size,pes,adaptive_rho,solve_index,solve_ms,status,mae,admm_iterations,pcg_iterations,r_prim,r_dual
low,8192x8192_reshape8_pes16,8192,16,0,1,2765.7646000000113,1,3.89367e-06,150,160,0.006405830383300781,0.001206973334774375
low,8192x8192_reshape8_pes20,8192,20,0,1,2767.9458499999328,1,3.8822973e-06,150,160,0.006437540054321289,0.0012365477159619331
low,8192x8192_reshape8_pes30,8192,30,0,1,2770.816439999976,1,3.8764865e-06,150,160,0.0064601898193359375,0.0012456148397177458
low,16384x16384_reshape1_pes12,16384,12,0,1,1797.540099999992,1,3.884142e-06,150,160,0.006372213363647461,0.0011857211356982589
low,16384x16384_reshape8_pes12,16384,12,0,1,2293.9430799999627,1,3.884142e-06,150,160,0.006372213363647461,0.0011857211356982589
low,16384x16384_reshape8_pes16,16384,16,0,1,2151.5448000000106,1,3.8750663e-06,150,160,0.00641179084777832,0.0012102685868740082
low,16384x16384_reshape8_pes20,16384,20,0,1,2152.157250000073,1,3.8300313e-06,150,160,0.00645136833190918,0.0012415345991030335
low,32768x32768_reshape1_pes6,32768,6,0,1,1939.149779999866,1,3.810741e-06,150,160,0.006482601165771484,0.001265374943614006
low,32768x32768_reshape8_pes6,32768,6,0,1,2324.2866099999446,1,3.810741e-06,150,160,0.006482601165771484,0.001265374943614006
low,32768x32768_reshape8_pes8,32768,8,0,1,2114.292050000131,1,3.882302e-06,150,160,0.006437778472900391,0.0012368052266538143
low,32768x32768_reshape8_pes12,32768,12,0,1,2207.994869999993,1,3.890865e-06,150,160,0.006418466567993164,0.0012189934495836496
medium,1024x1024_reshape1_pes16,1024,16,0,1,17968.482539999968,1,2.117403e-05,215,257,0.01502227783203125,0.0017475906061008573
medium,1024x1024_reshape1_pes20,1024,20,0,1,18373.12797000004,1,6.0530256e-06,230,279,0.010999679565429688,0.0011677866568788886
medium,1024x1024_reshape1_pes30,1024,30,0,1,18385.773839999958,1,2.0375388e-05,220,260,0.013196945190429688,0.0018041024450212717
medium,1024x1024_reshape8_pes16,1024,16,0,1,18863.268849999942,1,2.117403e-05,215,257,0.01502227783203125,0.0017475906061008573
medium,1024x1024_reshape8_pes20,1024,20,0,1,19304.415360000123,1,6.0530256e-06,230,279,0.010999679565429688,0.0011677866568788886
medium,1024x1024_reshape8_pes30,1024,30,0,1,19316.11393000003,1,2.0375388e-05,220,260,0.013196945190429688,0.0018041024450212717
medium,4096x4096_reshape1_pes16,4096,16,0,1,5360.997449999877,1,2.0373229e-05,220,260,0.013186454772949219,0.001802316284738481
medium,4096x4096_reshape1_pes20,4096,20,0,1,5391.962129999911,1,8.778699e-06,225,272,0.014207839965820312,0.0013205657014623284
medium,4096x4096_reshape1_pes30,4096,30,0,1,5419.428149999885,1,2.0374173e-05,220,260,0.013182640075683594,0.0017969817854464054
medium,4096x4096_reshape8_pes16,4096,16,0,1,6217.782330000009,1,2.0373229e-05,220,260,0.013186454772949219,0.001802316284738481
medium,4096x4096_reshape8_pes20,4096,20,0,1,6232.876910000186,1,8.778699e-06,225,272,0.014207839965820312,0.0013205657014623284
medium,4096x4096_reshape8_pes30,4096,30,0,1,6252.070559999929,1,2.0374173e-05,220,260,0.013182640075683594,0.0017969817854464054
medium,8192x8192_reshape1_pes16,8192,16,0,1,3565.872059999947,1,8.779538e-06,225,272,0.014235496520996094,0.0013180063106119633
medium,8192x8192_reshape1_pes20,8192,20,0,1,3624.805920000199,1,6.038619e-06,230,279,0.011041641235351562,0.0011738406028598547
medium,8192x8192_reshape1_pes30,8192,30,0,1,3570.4486500001167,1,6.0753882e-06,230,279,0.011041641235351562,0.0011723425704985857
medium,8192x8192_reshape8_pes16,8192,16,0,1,4317.257399999871,1,8.779538e-06,225,272,0.014235496520996094,0.0013180063106119633
medium,8192x8192_reshape8_pes20,8192,20,0,1,4324.990739999976,1,6.038619e-06,230,279,0.011041641235351562,0.0011738406028598547
medium,8192x8192_reshape8_pes30,8192,30,0,1,4331.881410000051,1,6.0753882e-06,230,279,0.011041641235351562,0.0011723425704985857
medium,16384x16384_reshape1_pes12,16384,12,0,1,6601.987769999823,1,8.754148e-06,225,272,0.01415252685546875,0.0013139512157067657
medium,16384x16384_reshape8_pes12,16384,12,0,1,7343.778170000178,1,8.754148e-06,225,272,0.01415252685546875,0.0013139512157067657
medium,16384x16384_reshape8_pes16,16384,16,0,1,3639.1716599998745,1,8.768133e-06,225,272,0.014233589172363281,0.0013243411667644978
medium,16384x16384_reshape8_pes20,16384,20,0,1,3354.0093599999636,1,2.0373152e-05,220,260,0.01318359375,0.0018039086135104299
medium,32768x32768_reshape1_pes6,32768,6,0,1,7178.888689999894,1,2.1181324e-05,215,257,0.015032768249511719,0.001748036127537489
